#WordNum	NormalLatency	MrLatency
1	4174.7601351351	831.5810810811
2	4330.2906574395	842.6124567474
3	842	849
4	856.1233333333	850.14
5	4768.1946308725	850.711409396
6	1476.3215547703	854.9151943463
7	1477.4734982332	856.8480565371
8	1433	861.8275862069
9	7187.2714776632	862.7869415808
10	1006.4121621622	864.9191919192
11	1485	871.7168458781
12	3925.1014492754	872.0905797101
13	919.4203389831	873.406779661
14	2099	875.8078817734
15	885	876.484
16	900	876.6022304833
17	1380.0535117057	877
18	945	878.2173913043
19	1510	882.614213198
20	4809	883.9471830986
21	903	884.7
22	913.7562724014	885.5884476534
23	953.4033333333	890.1333333333
24	4262.2310756972	891.187250996
25	4132	893.2333333333
26	1038.2263513514	894.0067567568
27	1432.5170068027	896.9727891156
28	4220	908.25795053
29	855.735426009	918.533632287
30	885.93	965.4766666667
31	3816.2094017094	973.0769230769
32	1442.1086142322	973.6052631579
33	2279.8041958042	974.3706293706
34	885.704797048	1118.1771217712
35	869	1121.9
36	4231	1140.3258426966
37	4649.0842490843	1141.7619047619
38	2363.6501766785	1162.2155477032
39	4194.5236486487	1164.0135135135
40	911.0408163265	1197.5918367347
41	4039.3830508475	1201.5423728814
42	4783	1217.8878048781
43	4548	1223.8007246377
44	892.0409556314	1227.7610921502
45	4219	1232.7
46	4163	1235.9426229508
47	4131.9264214047	1243.2413793104
48	2192.5	1243.6666666667
49	4262.0719424461	1252.2769784173
50	1528	1254.1054421769
51	4414	1259.1355932203
52	3780	1260.8705035971
53	1486.78	1273.1366666667
54	22514.1466666667	1274.7333333333
55	1471.6333333333	1275.3185185185
56	4204	1277.95
57	4156.3675213675	1279.0683760684
58	4176.6218181818	1296.2618181818
59	9843.7306122449	1296.8979591837
60	1484.5979020979	1307.4755244755
61	1485.9243986254	1309.5463917526
62	1438	1323.2666666667
63	4737.7766666667	1325.2
64	4722.7647058824	1338.7993079585
65	1251.6811594203	1358.2173913044
66	4135.5799256506	1361.156133829
67	1270	1395.76171875
68	4215.276450512	1402.3890784983
69	1442	1451
70	3863	1454.3079584775
71	4198	1462.3333333333
72	1519	1569.9097222222
73	1468.7062937063	1633.3426573427
74	1429.6947368421	1641.4210526316
75	1187.9191919192	1672.8754208754
76	3837.4872881356	1750.6101694915
77	7740.1533333333	1753.1333333333
78	4199	1781.4666666667
79	2314.303030303	1933.4612794613
80	4228.5358490566	1954.5245283019
81	4295	1964.1784511785
82	4146.1366666667	1987.0066666667
83	3814.8865546219	2064.6260504202
84	892	2079.5866666667
85	873.9444444444	2090.3125
86	881.9047619048	2247.0544217687
87	4263	2258.4333333333
88	954	2327.2392857143
89	4186	2344.8
90	1442.7172995781	2347.164556962
91	1465.0750853242	2355.6109215017
92	3788.01	2517.4
93	876.3266666667	2517.8666666667
94	4220.6941580756	2714.1305841924
95	4149.2730923695	2770.5381526105
96	1462.3859060403	2861.5369127517
97	1439.0469798658	2982.7516778524
98	4349.8242677824	2991.8033472803
99	4206	3217.7108013937
100	4205.6020408163	3287.6870748299
